Dept,CourseName,Instructor
EDUC,Seminar in Developmental Psychology: Cognitive Development During the Preschool Years,Kathleen Galotti
EDUC,Politics in America: Liberty and Equality,Steven Schier
EDUC,Cognitive Neuroscience,Julie Neiworth
EDUC,Psychology of Prejudice,Sharon Akimoto
EDUC,Race and Ethnicity in the United States,Liz Raleigh
ENGL,Introduction to Rhetoric,Peter Balaam
ENGL,Introduction to Poetry,Timothy Raylor
ENGL,Introduction to U.S. Latino/a Literature,Adriana Estill
ENGL,Shakespeare I,Pierre Hecker
ENGL,Introduction to Creative Writing,Gregory Hewett
ENGL,"Neoclassic, Romantic, and Victorian Literature",Jessica Leiman
ENGL,Christopher Marlowe,Pierre Hecker
ENGL,Revenge Tragedy,Pierre Hecker
ENGL,Arts of Oral Presentation,Elizabeth McKinsey
ENGL,Arts of Oral Presentation,Elizabeth McKinsey
ENGL,The Art of Jane Austen,Constance Walker
ENGL,Shakespeare I,Pierre Hecker
ENGL,Irish Literature,Constance Walker
ENGL,Modern Indian Fiction,Arnab Chakladar
ENGL,Short Story Workshop,Gregory Smith
ENGL,Poetry Workshop,Gregory Hewett
ENGL,London Program: Urban Arts,Susan Jaret McKinstry
ENGL,London Program: Urban Field Studies,Susan Jaret McKinstry
ENGL,London Program: Framing Empire,Susan Jaret McKinstry
ENGL,London Program: London Theater,Susan Jaret McKinstry
ENGL,The Rise of the Novel,Jessica Leiman
ENGL,The City in American Literature,Nancy Cho
ENGL,London Program:  Framing Empire,Susan Jaret McKinstry
ENGL,Integrative Exercise,Staff
ENGL,Advanced Chinese: Poems and Stories,Qiguang Zhao
ENGL,Introduction to Classical Studies,Chico Zimmerman
ENGL,"Mystery, Murder, Madness: Crime Stories in German Literature",Lydia Butt
ENGL,Greek Poetry,Johannes (Hans) Wietzke
ENGL,Homer,Johannes (Hans) Wietzke
ENGL,Advanced Reading in Modern Japanese Literature: The Short Story,Kathryn Sparling
ENGL,Making Meaning of the Hebrew Bible,Shana Sippy
ENGL,The Rise of the Russian Novel,Laura Goering
ENGL,Introduction to Latin American Literature,Silvia Lopez
ENGL,Myth and History in Central American Literature,Yansi Perez
ENGL,Women Writers in Latin America: Body and Text,Becky Boling
ENTS,Ethics and Ecology,Kimberly Smith
ENTS,Public Rhetoric and Environmental Science,Carol Rutz
ENTS,Biodiversity Conservation and Development,Tsegaye Nega
ENTS,"Materials Science, Energy, and the Environment",Melissa Eblen-Zayas
ENTS,Integrative Exercise,Staff
ENTS,Studio Art Seminar in the South Pacific: Mixed-Media Drawing,Fred Hagstrom
ENTS,Studio Art Seminar in th South Pacific: The Physical and Cultural Environment,Fred Hagstrom
ENTS,Energy Flow in Biological Systems,"Raka Mitra, David Hougen-Eitzman"
ENTS,Global Change Biology,Daniel Hernandez
ENTS,Australia Program: Marine Ecology,Annie Bosacker
ENTS,Economics of Natural Resources and the Environment,Aaron Swoboda
ENTS,Climate Change in Geology,Clinton Cowan
ENTS,Geology of Energy and Mineral Resources,Cameron Davidson
ENTS,Hydrology,Mary Savina
ENTS,American Cities and Nature,George Vrtis
ENTS,Introduction to Statistics,Katie St. Clair
ENTS,Introduction to Statistics,Dave Watson
ENTS,Applied Regression Analysis,Laura Chihara
ENTS,Environment and the Evolution of Rules: Designing Institutions to Solve Political Problems,Barbara Allen
ENTS,Environmental Justice,Kimberly Smith
ENTS,Political Econ &amp; Ecology of S.E. Asia: Diversity of Social Ecological Systems in Southeast Asia,Tun Myint
ENTS,Native American Religious Freedom,Michael McNally
ENTS,"Mother Earth: Women, Development and the Environment",Constanza Ocampo-Raeder
EUST,Introduction to Art History II,"Baird Jarman, Jessica Keating"
EUST,Theories of Postmodernism,Ross Elfline
EUST,Creative Travel Writing Workshop,Scott Carpenter
EUST,Shakespeare I,Pierre Hecker
EUST,"Neoclassic, Romantic, and Victorian Literature",Jessica Leiman
EUST,Christopher Marlowe,Pierre Hecker
EUST,Revenge Tragedy,Pierre Hecker
EUST,The Art of Jane Austen,Constance Walker
EUST,Shakespeare I,Pierre Hecker
EUST,Irish Literature,Constance Walker
EUST,London Program: Framing Empire,Susan Jaret McKinstry
EUST,London Program: London Theater,Susan Jaret McKinstry
EUST,The Rise of the Novel,Jessica Leiman
EUST,London Program:  Framing Empire,Susan Jaret McKinstry
EUST,Intermediate French,Eva Posfay
EUST,Contemporary Francophone Culture,Cherif Keita
EUST,Topics in Cultural Studies: Cultural Reading of Food,Christine Lac
EUST,The Mande of West Africa: A Tradition of Change,Cherif Keita
EUST,Culture or Barbarity? The German Question,Roger Paas
